"Boletín","Titulo","Ley","Estado","Fecha"
"15616-11","Modifica la ley Nº 20.584, que regula los derechos y deberes que tienen las personas en relación con acciones vinculadas a su atención en salud, con el objeto de establecer la interoperabilidad de las fichas clínicas","","En tramitación","03/01/2023"
"15626-07","Modifica la Carta Fundamental, con el objeto de eliminar la facultad presidencial para otorgar indultos","","En tramitación","03/01/2023"
"15627-12","Proyecto de ley, iniciado en Moción del Honorable Senador señor Velásquez, que modifica la ley Nº 20.920, que establece marco para la gestión de residuos, la responsabilidad extendida del productor y fomento al reciclaje, en materia de exportación de residuos peligrosos.","","En tramitación","03/01/2023"
"15628-07","Modifica la ley N° 18.050, que fija normas generales para conceder indultos particulares, en las materias que señala","","En tramitación","03/01/2023"
"15631-07","Modifica la Carta Fundamental, en materia de ingreso y permanencia de extranjeros en el país, y de la función de las Fuerzas Armadas para el resguardo de la seguridad nacional","","En tramitación","03/01/2023"
"15632-36","Modifica el decreto con fuerza de ley N° 58, de 1997, del Ministerio del Interior, que fija el texto refundido, coordinado y sistematizado de la ley N° 19.418, sobre juntas de vecinos y demás organizaciones comunitarias, para que puedan hacerse parte en procesos judiciales por actos de violencia intrafamiliar","","En tramitación","03/01/2023"
"15633-07","Modifica la Carta Fundamental, con el objeto de eliminar la atribución del Presidente de la República para otorgar indultos particulares","","En tramitación","03/01/2023"
"15634-11","Modifica la ley N° 21.020, sobre Tenencia Responsable de Mascotas y Animales de Compañía, para suprimir la esterilización de la especie canina y felina por parte de los dueños de criaderos y los vendedores de mascotas o animales de compañía, en las condiciones que indica","","En tramitación","03/01/2023"
"15635-07","Proyecto de ley, iniciado en Moción del Honorable Senador señor Keitel, que modifica la ley N° 18.050, que fija normas generales para conceder indultos particulares, en cuanto a la procedencia de esta atribución presidencial (Boletín N° 15.635-07).","","En tramitación","04/01/2023"
"15638-15","Modifica las leyes N° 18.168, General de Telecomunicaciones, y N° 19.496, que establece normas sobre protección de los derechos de los consumidores, en materia de comunicaciones comerciales, informativas o publicitarias","","En tramitación","04/01/2023"
"15644-04","Proyecto de ley, iniciado en Moción del Honorable Senador señor Keitel, que  modifica el D.F.L N° 2, de 2010, del Ministerio de Educación, que fija texto refundido, coordinado y sistematizado de la ley N° 20.370, con las normas no derogadas del D.F.L N° 1, de 2005, con el objeto incluir en las mallas curriculares de Enseñanza Básica y Media, instancias formales de conocimiento sobre nutrición en niños, niñas y adolescentes.","","En tramitación","04/01/2023"
"15645-36","Promueve la inclusión de personas con discapacidad en las artes, la cultura y el patrimonio","","En tramitación","04/01/2023"
"15653-07","Proyecto de reforma constitucional, iniciado en Moción de los Honorables Senadores señores Velásquez y señoras Campillai y Sepúlveda, que modifica la Carta Fundamental, con el objeto de consagrar la persecución de la corrupción como un principio rector para el Estado.","","En tramitación","09/01/2023"
"15654-05","Crea un Fondo de Garantías Especiales","Ley N° 21.543","Publicado","09/01/2023"
"15656-07","Proyecto de ley, iniciado en Moción del Honorable Senador señor Keitel, que modifica el Código Penal, con el objeto de aumentar las penas asignadas al delito de incendio.","","En tramitación","10/01/2023"
"15657-07","Que modifica el artículo 1° de la ley N° 18.050, que fija normas generales para conceder indultos particulares, en cuanto a las personas que pueden solicitar este beneficio","","En tramitación","11/01/2023"
"15658-07","Que modifica la Carta Fundamental, para suspender el cobro del impuesto territorial en bienes raíces usurpados u ocupados ilegal o ilegítimamente","","En tramitación","11/01/2023"
"15659-07","Modifica la Carta Fundamental, con el objeto extender el derecho a sufragio a los mayores de dieciséis años","","En tramitación","11/01/2023"
"15660-13","Modifica el Código del Trabajo, en materia del derecho a sala cuna","","En tramitación","11/01/2023"
"15661-07","Modifica diversos cuerpos legales, con el objeto de mejorar la persecución penal, con énfasis en materia de reincidencia y en delitos de mayor connotación social","","En tramitación","11/01/2023"
"15665-05","Impulsa medidas para la seguridad económica, incluyendo un aporte extraordinario para duplicar el Aporte Familiar Permanente en 2023; un incremento permanente en la Asignación Familiar y Maternal y en el Subsidio Único Familiar, y su automatización para las personas que indica, y la creación del Bolsillo Familiar Electrónico","Ley N° 21.550","Publicado","16/01/2023"
"15670-25","Modifica el Decreto Ley N° 3.607, que deroga el D.L. N° 194, de 1973, y establece nuevas normas sobre funcionamiento de vigilantes privados, en materia de acreditación de la idoneidad de las personas que indica","","En tramitación","18/01/2023"
"15671-07","Modifica el Código Civil, para establecer el testamento de libre disposición, cumpliendo determinados requisitos","","En tramitación","18/01/2023"
"15673-15","Modifica el decreto con fuerza de ley N° 1, de 2009, del Ministerio de Transportes y Telecomunicaciones, que fija texto refundido, coordinado y sistematizado de la Ley de Tránsito, con el objeto de aumentar las penas asignadas al delito de conducción en estado de ebriedad con resultado de muerte o lesiones graves","","En tramitación","18/01/2023"
"15674-07","Modifica la Carta Fundamental, con el objeto de establecer el deber del Estado de asegurar el acceso a la salud y la libre movilidad y continuidad de las prestaciones de los afiliados a Instituciones de Salud Previsional, en el caso que indica","","En tramitación","18/01/2023"
"15675-37","Modifica la ley N° 18.356, que establece normas sobre control de las artes marciales y deroga la ley N° 18.039, con el objeto de excluir al deporte Brazilian Jiu-Jitsu de la aplicación de dicha normativa legal","","En tramitación","18/01/2023"
"15676-09","Dicta normas sobre extracción de áridos","","En tramitación","18/01/2023"
"15687-12","Modifica la ley N° 19.300, que aprueba Ley sobre Bases Generales del Medio Ambiente, con el objeto de incorporar el reconocimiento de los elementos contaminantes que indica","","En tramitación","24/01/2023"
"15689-14","Modifica la ley N° 20.898, que establece un procedimiento simplificado para la regularización de viviendas de autoconstrucción, con el objeto de ampliar los plazos de vigencia de dicha normativa legal en los casos que se indican","","En tramitación","24/01/2023"
"15690-33","Regula y fomenta los sistemas de tratamiento y de reutilización de aguas residuales","","En tramitación","25/01/2023"
"15691-36","Modifica la ley N° 21.389, que crea el Registro Nacional de Deudores de Pensiones de Alimentos y modifica diversos cuerpos legales para perfeccionar el sistema de pago de las pensiones de alimentos, con el objeto de limitar ciertos derechos del padre deudor de pensión de alimentos","","En tramitación","25/01/2023"
"15692-36","Modifica diversos cuerpos legales, con el objeto de establecer medidas judiciales de resguardo y acompañamiento a víctimas de violencia intrafamiliar","","En tramitación","25/01/2023"
"15694-34","Promueve la transparencia y la adopción de medidas para la inclusión laboral de las mujeres en las empresas que indica","","En tramitación","25/01/2023"
"15695-36","Modifica la ley N° 19.477, que aprueba Ley Orgánica del Servicio de Registro Civil e Identificación, con el objeto de establecer la validez ilimitada de la cédula nacional de identidad otorgada a las personas que indica","","En tramitación","25/01/2023"
